time_ms,ch1_v,ch2_v
67,3.76,3.62
68,3.74,3.60
69,3.72,3.59
70,3.71,3.59
71,3.71,3.60
72,3.72,3.61
73,3.74,3.63
74,3.77,3.66
75,3.80,3.68
76,3.83,3.69
77,3.84,3.69
78,3.84,3.68
79,3.83,3.67
80,3.82,3.66
81,3.80,3.65
82,3.78,3.64
83,3.76,3.62
84,3.74,3.60
87,3.72,3.59
88,3.71,3.59
89,3.71,3.60
90,3.73,3.62
91,3.75,3.64
92,3.78,3.66
93,3.81,3.68
94,3.83,3.69
95,3.84,3.69
96,3.84,3.68
97,3.83,3.67
98,3.82,3.66
99,3.80,3.65
100,3.78,3.63
101,3.76,3.62
102,3.73,3.60
103,3.71,3.59
104,3.71,3.60
105,3.72,3.61
106,3.74,3.63
107,3.76,3.65
108,3.79,3.67
110,3.82,3.69
111,3.84,3.69
112,3.84,3.68
113,3.83,3.67
114,3.82,3.66
115,3.80,3.65
116,3.78,3.63
117,3.76,3.62
118,3.73,3.60
119,3.71,3.59
120,3.71,3.59
121,3.72,3.61
123,3.73,3.62
124,3.76,3.64
125,3.79,3.67
126,3.82,3.69
128,3.84,3.69
129,3.84,3.68
130,3.83,3.68
131,3.82,3.66
132,3.80,3.65
133,3.78,3.63
134,3.76,3.62
135,3.74,3.60
136,3.72,3.59
138,3.71,3.59
139,3.72,3.60
140,3.73,3.62
141,3.76,3.64
142,3.79,3.67
143,3.82,3.69
144,3.84,3.69
145,3.84,3.69
146,3.83,3.68
147,3.82,3.67
148,3.81,3.65
149,3.79,3.64
150,3.76,3.62
152,3.74,3.60
153,3.72,3.59
154,3.71,3.60
155,3.72,3.61
156,3.73,3.62
157,3.75,3.64
158,3.78,3.67
159,3.82,3.69
160,3.84,3.69
161,3.84,3.69
162,3.84,3.68
163,3.82,3.67
165,3.81,3.65
166,3.79,3.64
167,3.76,3.62
168,3.74,3.60
169,3.72,3.59
171,3.71,3.60
172,3.71,3.61
173,3.73,3.62
174,3.76,3.64
175,3.78,3.67
176,3.81,3.69
177,3.83,3.69
178,3.84,3.68
180,3.83,3.68
181,3.82,3.66
182,3.80,3.65
183,3.79,3.64
184,3.76,3.61
185,3.74,3.60
186,3.72,3.59
187,3.70,3.59
188,3.71,3.60
189,3.72,3.62
190,3.75,3.64
191,3.78,3.66
192,3.81,3.68
194,3.83,3.69
195,3.84,3.68
196,3.83,3.68
197,3.82,3.67
198,3.80,3.65
199,3.78,3.63
200,3.76,3.62
201,3.74,3.60
202,3.72,3.59
203,3.70,3.59
204,3.71,3.60
205,3.72,3.61
207,3.75,3.63
208,3.78,3.66
209,3.81,3.68
210,3.83,3.69
211,3.84,3.69
212,3.83,3.68
214,3.82,3.67
215,3.81,3.65
216,3.79,3.64
217,3.77,3.62
218,3.75,3.61
219,3.72,3.59
220,3.71,3.59
222,3.71,3.60
223,3.72,3.62
224,3.75,3.64
225,3.77,3.66
226,3.81,3.68
227,3.83,3.69
228,3.84,3.69
