time_ms,ch1_v,ch2_v
60,3.85,3.61
61,3.83,3.60
62,3.82,3.59
63,3.80,3.58
64,3.77,3.56
65,3.75,3.55
66,3.74,3.55
67,3.74,3.56
68,3.75,3.57
69,3.77,3.59
70,3.80,3.61
71,3.82,3.62
72,3.85,3.64
73,3.87,3.64
74,3.87,3.64
75,3.86,3.63
76,3.85,3.61
77,3.83,3.60
78,3.82,3.59
79,3.79,3.58
80,3.77,3.56
81,3.75,3.55
82,3.74,3.56
83,3.74,3.56
84,3.76,3.58
86,3.78,3.59
87,3.80,3.61
88,3.83,3.63
89,3.85,3.64
90,3.87,3.64
91,3.87,3.64
92,3.87,3.63
94,3.85,3.62
95,3.83,3.60
96,3.82,3.59
97,3.79,3.58
98,3.77,3.57
99,3.75,3.56
100,3.74,3.56
101,3.75,3.57
102,3.77,3.58
103,3.79,3.60
104,3.81,3.62
105,3.84,3.64
106,3.86,3.65
107,3.88,3.64
108,3.87,3.64
109,3.86,3.62
110,3.84,3.61
112,3.82,3.60
113,3.80,3.58
114,3.78,3.57
115,3.75,3.56
116,3.75,3.56
117,3.75,3.57
118,3.77,3.59
119,3.79,3.60
120,3.81,3.62
121,3.84,3.64
122,3.86,3.65
123,3.88,3.65
124,3.88,3.64
126,3.86,3.63
128,3.85,3.62
129,3.83,3.61
130,3.81,3.59
131,3.78,3.58
132,3.76,3.57
133,3.75,3.57
134,3.75,3.58
135,3.77,3.59
136,3.79,3.61
137,3.81,3.63
138,3.84,3.64
139,3.87,3.66
141,3.88,3.66
142,3.88,3.65
143,3.87,3.64
144,3.85,3.63
145,3.83,3.61
146,3.81,3.60
147,3.79,3.58
148,3.76,3.57
149,3.75,3.57
150,3.75,3.58
151,3.77,3.60
152,3.79,3.61
153,3.81,3.63
155,3.84,3.65
156,3.87,3.67
157,3.88,3.67
158,3.88,3.66
159,3.87,3.65
160,3.86,3.64
161,3.84,3.63
162,3.82,3.61
163,3.79,3.59
164,3.77,3.58
165,3.76,3.58
166,3.76,3.59
167,3.77,3.60
169,3.79,3.62
171,3.82,3.64
172,3.85,3.66
173,3.87,3.68
174,3.89,3.68
175,3.89,3.68
176,3.88,3.67
177,3.87,3.65
178,3.85,3.64
179,3.82,3.62
180,3.80,3.61
181,3.77,3.59
182,3.76,3.59
184,3.76,3.60
185,3.78,3.62
186,3.80,3.63
187,3.82,3.65
188,3.85,3.67
189,3.87,3.69
190,3.89,3.70
191,3.90,3.69
192,3.89,3.68
193,3.88,3.67
194,3.86,3.65
195,3.84,3.64
196,3.81,3.62
198,3.79,3.61
199,3.77,3.60
200,3.77,3.61
201,3.78,3.63
202,3.80,3.64
203,3.82,3.66
204,3.85,3.68
205,3.88,3.70
206,3.89,3.70
207,3.90,3.70
208,3.90,3.69
209,3.88,3.68
210,3.86,3.67
211,3.84,3.65
214,3.82,3.63
215,3.79,3.62
216,3.77,3.61
217,3.77,3.62
218,3.78,3.63
219,3.80,3.65
220,3.82,3.67
221,3.84,3.69
222,3.87,3.71
223,3.89,3.72
224,3.90,3.71
225,3.89,3.70
226,3.88,3.70
228,3.86,3.68
229,3.84,3.66
230,3.82,3.64
231,3.79,3.62
232,3.77,3.62
233,3.77,3.63
234,3.78,3.64
235,3.79,3.66
236,3.82,3.68
237,3.84,3.70
238,3.87,3.72
239,3.89,3.73
241,3.90,3.72
242,3.90,3.71
243,3.88,3.70
244,3.87,3.69
245,3.84,3.67
246,3.82,3.65
247,3.79,3.63
248,3.77,3.63
249,3.77,3.64
250,3.78,3.65
251,3.79,3.66
252,3.82,3.68
253,3.84,3.70
256,3.87,3.72
257,3.89,3.73
258,3.90,3.73
259,3.90,3.72
260,3.88,3.71
261,3.87,3.70
262,3.84,3.68
263,3.82,3.66
264,3.79,3.64
265,3.77,3.64
266,3.77,3.64
267,3.77,3.65
268,3.79,3.67
270,3.81,3.69
271,3.84,3.71
272,3.87,3.73
273,3.89,3.74
274,3.90,3.74
275,3.90,3.73
276,3.89,3.72
277,3.87,3.70
278,3.85,3.69
279,3.83,3.67
280,3.80,3.65
281,3.78,3.64
282,3.77,3.65
284,3.77,3.66
285,3.79,3.68
286,3.81,3.70
287,3.84,3.71
288,3.86,3.73
289,3.89,3.75
290,3.90,3.75
291,3.90,3.74
292,3.89,3.72
293,3.87,3.71
294,3.85,3.70
295,3.83,3.68
296,3.80,3.66
299,3.78,3.65
300,3.77,3.65
301,3.77,3.66
302,3.79,3.68
303,3.81,3.70
304,3.83,3.71
305,3.86,3.73
306,3.89,3.75
307,3.90,3.75
308,3.90,3.74
309,3.89,3.72
310,3.87,3.71
311,3.85,3.70
313,3.83,3.68
314,3.80,3.66
315,3.78,3.65
316,3.77,3.65
317,3.77,3.67
318,3.79,3.68
319,3.81,3.70
320,3.83,3.72
321,3.86,3.74
322,3.89,3.75
323,3.90,3.75
324,3.90,3.75
325,3.89,3.73
327,3.87,3.72
328,3.85,3.70
329,3.83,3.69
330,3.81,3.67
331,3.78,3.66
332,3.77,3.66
333,3.78,3.67
334,3.79,3.69
335,3.81,3.70
336,3.83,3.72
337,3.86,3.74
338,3.89,3.76
339,3.90,3.76
342,3.91,3.75
343,3.90,3.74
344,3.88,3.73
345,3.86,3.71
346,3.84,3.69
347,3.81,3.67
348,3.79,3.66
349,3.78,3.66
350,3.78,3.68
351,3.80,3.69
352,3.82,3.71
353,3.84,3.73
354,3.86,3.75
356,3.89,3.77
357,3.91,3.77
358,3.91,3.76
359,3.90,3.75
360,3.89,3.74
361,3.87,3.72
362,3.85,3.70
363,3.82,3.68
364,3.80,3.67
365,3.78,3.67
366,3.79,3.68
367,3.80,3.70
368,3.82,3.71
370,3.84,3.73
371,3.87,3.75
372,3.89,3.77
373,3.91,3.78
374,3.91,3.77
375,3.91,3.76
376,3.90,3.74
377,3.87,3.73
378,3.85,3.71
379,3.83,3.69
380,3.80,3.68
381,3.78,3.67
382,3.79,3.68
385,3.80,3.70
386,3.82,3.71
387,3.84,3.73
388,3.86,3.75
389,3.89,3.77
390,3.91,3.78
391,3.91,3.78
392,3.91,3.76
393,3.89,3.75
394,3.87,3.73
395,3.85,3.71
396,3.83,3.70
397,3.80,3.68
399,3.78,3.68
400,3.78,3.69
401,3.79,3.70
402,3.81,3.72
403,3.83,3.73
404,3.86,3.75
405,3.88,3.77
406,3.90,3.78
407,3.91,3.78
408,3.90,3.76
409,3.89,3.75
410,3.87,3.73
411,3.85,3.71
413,3.82,3.70
414,3.80,3.68
415,3.78,3.68
416,3.78,3.69
417,3.79,3.70
418,3.81,3.71
419,3.83,3.73
420,3.85,3.75
421,3.88,3.77
422,3.90,3.77
423,3.90,3.77
424,3.90,3.75
425,3.88,3.74
428,3.86,3.72
429,3.84,3.70
430,3.82,3.69
431,3.79,3.67
432,3.77,3.67
433,3.77,3.67
434,3.78,3.68
435,3.79,3.70
436,3.82,3.71
