time_ms,ch1_v,ch2_v
,4.37,3.77
58,4.37,3.77
59,4.37,3.77
60,4.37,3.77
61,4.37,3.77
62,4.37,3.77
63,4.37,3.77
64,4.37,3.77
65,4.37,3.77
66,4.37,3.77
67,4.37,3.77
68,4.37,3.77
69,4.37,3.77
70,4.37,3.77
71,4.37,3.77
72,4.37,3.77
73,4.37,3.77
74,4.37,3.77
75,4.37,3.77
76,4.37,3.77
77,4.37,3.77
78,4.37,3.77
79,4.37,3.77
80,4.37,3.77
81,4.37,3.77
82,4.37,3.77
83,4.37,3.77
84,4.37,3.77
86,4.37,3.77
87,4.37,3.77
88,4.37,3.77
89,4.37,3.77
90,4.37,3.77
91,4.37,3.77
92,4.37,3.77
93,4.37,3.77
94,4.37,3.77
95,4.37,3.77
96,4.37,3.77
97,4.37,3.77
98,4.37,3.77
100,4.37,3.77
101,4.37,3.77
102,4.37,3.77
103,4.37,3.77
104,4.37,3.77
105,4.37,3.77
106,4.37,3.77
107,4.37,3.77
108,4.37,3.77
109,4.37,3.77
110,4.37,3.77
111,4.37,3.77
112,4.37,3.77
114,4.37,3.77
115,4.37,3.77
116,4.37,3.77
117,4.37,3.77
118,4.36,3.77
119,4.36,3.77
120,4.36,3.77
121,4.36,3.77
122,4.36,3.77
123,4.36,3.77
124,4.36,3.77
125,4.36,3.77
126,4.36,3.76
129,4.36,3.77
130,4.36,3.76
131,4.36,3.76
132,4.36,3.76
133,4.36,3.76
134,4.35,3.76
135,4.35,3.76
136,4.35,3.76
137,4.35,3.76
138,4.35,3.76
139,4.35,3.76
140,4.35,3.76
141,4.35,3.76
143,4.35,3.76
144,4.35,3.76
145,4.35,3.76
146,4.35,3.76
147,4.35,3.76
148,4.35,3.76
149,4.35,3.76
150,4.35,3.75
151,4.35,3.76
152,4.35,3.76
153,4.35,3.76
154,4.35,3.76
155,4.35,3.76
157,4.35,3.76
158,4.35,3.76
159,4.35,3.76
160,4.35,3.76
161,4.35,3.76
162,4.35,3.76
163,4.35,3.76
164,4.35,3.76
165,4.35,3.76
166,4.35,3.76
167,4.35,3.76
168,4.35,3.76
169,4.35,3.76
172,4.35,3.76
173,4.35,3.76
174,4.35,3.76
175,4.35,3.76
176,4.35,3.76
177,4.35,3.76
178,4.36,3.76
179,4.36,3.76
180,4.36,3.76
181,4.36,3.76
182,4.36,3.76
183,4.36,3.76
184,4.36,3.76
186,4.36,3.76
187,4.36,3.76
188,4.36,3.76
189,4.36,3.76
190,4.36,3.76
191,4.36,3.76
192,4.36,3.76
193,4.36,3.76
194,4.36,3.76
195,4.37,3.76
196,4.37,3.76
197,4.37,3.76
198,4.37,3.76
200,4.37,3.76
201,4.37,3.76
202,4.37,3.76
203,4.37,3.76
204,4.37,3.76
205,4.37,3.76
206,4.37,3.76
207,4.37,3.76
208,4.37,3.76
209,4.37,3.76
210,4.37,3.77
211,4.37,3.77
212,4.38,3.77
215,4.38,3.77
216,4.38,3.77
217,4.38,3.77
218,4.37,3.77
219,4.38,3.77
220,4.37,3.77
221,4.38,3.77
222,4.37,3.77
223,4.37,3.77
224,4.37,3.77
225,4.37,3.77
226,4.37,3.77
227,4.38,3.77
229,4.38,3.77
230,4.38,3.77
231,4.38,3.77
232,4.38,3.77
233,4.38,3.77
234,4.38,3.77
235,4.38,3.77
236,4.38,3.77
237,4.38,3.77
238,4.38,3.77
239,4.38,3.77
240,4.38,3.77
241,4.38,3.77
243,4.38,3.77
244,4.38,3.77
245,4.39,3.77
246,4.39,3.77
247,4.39,3.77
248,4.39,3.77
249,4.39,3.77
250,4.39,3.77
251,4.39,3.77
252,4.39,3.77
253,4.39,3.77
254,4.39,3.77
256,4.39,3.77
258,4.39,3.77
259,4.38,3.77
260,4.38,3.77
261,4.39,3.77
262,4.39,3.78
263,4.39,3.78
264,4.39,3.78
265,4.39,3.78
266,4.39,3.78
267,4.39,3.78
268,4.39,3.78
269,4.39,3.78
270,4.39,3.77
272,4.39,3.77
273,4.39,3.77
274,4.39,3.77
275,4.39,3.77
276,4.39,3.77
277,4.39,3.78
278,4.39,3.77
279,4.40,3.78
280,4.40,3.78
281,4.40,3.78
282,4.40,3.78
283,4.40,3.78
284,4.39,3.77
286,4.39,3.77
287,4.39,3.77
288,4.39,3.77
289,4.39,3.77
290,4.39,3.77
291,4.39,3.77
292,4.39,3.77
293,4.39,3.78
294,4.39,3.78
295,4.39,3.78
296,4.40,3.78
297,4.40,3.78
299,4.40,3.78
301,4.40,3.78
302,4.40,3.78
303,4.39,3.78
304,4.39,3.78
305,4.39,3.77
306,4.39,3.77
