time_ms,ch1_v,ch2_v
490780,1.7334,2.5401
490781,1.7382,2.5377
490782,1.7318,2.5344
490783,1.7326,2.5401
490784,1.7334,2.5393
490785,1.7350,2.5393
490786,1.7358,2.5385
490787,1.7382,2.5401
490788,1.7399,2.5409
490789,1.7366,2.5385
490790,1.7350,2.5401
490791,1.7302,2.5401
490792,1.7350,2.5393
490793,1.7390,2.5401
490794,1.7318,2.5401
490795,1.7382,2.5377
490796,1.7366,2.5401
490797,1.7334,2.5393
490798,1.7447,2.5401
490799,1.7350,2.5328
490800,1.7374,2.5385
490801,1.7390,2.5393
490802,1.7326,2.5377
490803,1.7366,2.5393
490804,1.7382,2.5368
490805,1.7318,2.5401
490806,1.7350,2.5393
490807,1.7374,2.5385
490808,1.7350,2.5401
490809,1.7318,2.5393
490810,1.7407,2.5401
490811,1.7366,2.5352
490812,1.7399,2.5401
490813,1.7350,2.5393
490814,1.7366,2.5385
490815,1.7374,2.5401
490816,1.7390,2.5393
490817,1.7334,2.5393
490818,1.7374,2.5401
490819,1.7358,2.5401
490820,1.7358,2.5401
490821,1.7390,2.5377
490822,1.7366,2.5393
490823,1.7358,2.5393
490824,1.7358,2.5385
490825,1.7407,2.5393
490826,1.7294,2.5401
490827,1.7262,2.5401
490828,1.7358,2.5401
490829,1.7479,2.5409
490830,1.7366,2.5401
490831,1.7350,2.5377
490832,1.7382,2.5385
490833,1.7374,2.5401
490834,1.7374,2.5368
490835,1.7382,2.5401
490836,1.7382,2.5393
490837,1.7318,2.5401
490838,1.7334,2.5385
490839,1.7390,2.5401
490840,1.7366,2.5401
490841,1.7382,2.5401
490842,1.7366,2.5385
490843,1.7399,2.5385
490844,1.7334,2.5401
490845,1.7358,2.5401
490846,1.7374,2.5377
490847,1.7334,2.5393
490848,1.7366,2.5393
490849,1.7511,2.5393
490850,1.7358,2.5401
490851,1.7382,2.5393
490852,1.7382,2.5401
490853,1.7415,2.5401
490854,1.7358,2.5401
490855,1.7407,2.5401
490856,1.7390,2.5377
490857,1.7407,2.5401
490858,1.7390,2.5401
490859,1.7382,2.5401
490860,1.7334,2.5409
490861,1.7366,2.5385
490862,1.7382,2.5401
490863,1.7407,2.5401
490864,1.7326,2.5401
