time_ms,ch1_v,ch2_v
72,3.86,3.63
73,3.83,3.62
74,3.81,3.60
75,3.79,3.59
76,3.77,3.59
77,3.77,3.59
78,3.77,3.60
79,3.79,3.61
80,3.82,3.63
81,3.84,3.65
82,3.88,3.67
83,3.90,3.68
86,3.91,3.67
87,3.90,3.67
88,3.89,3.66
89,3.87,3.65
90,3.85,3.63
91,3.83,3.62
92,3.81,3.60
93,3.78,3.59
94,3.77,3.59
95,3.77,3.59
96,3.78,3.60
97,3.80,3.61
98,3.82,3.63
99,3.85,3.65
100,3.88,3.67
101,3.90,3.67
102,3.90,3.67
103,3.90,3.66
104,3.88,3.65
105,3.86,3.63
106,3.84,3.62
107,3.82,3.61
108,3.79,3.59
110,3.77,3.58
111,3.76,3.58
112,3.77,3.59
113,3.79,3.60
114,3.81,3.62
115,3.84,3.64
116,3.87,3.67
117,3.89,3.67
118,3.90,3.67
119,3.90,3.66
120,3.88,3.65
121,3.87,3.64
122,3.84,3.62
124,3.82,3.61
125,3.80,3.59
126,3.77,3.59
128,3.76,3.59
129,3.77,3.60
130,3.79,3.60
131,3.81,3.62
132,3.84,3.64
133,3.87,3.67
134,3.90,3.68
135,3.91,3.67
136,3.90,3.67
137,3.89,3.66
139,3.87,3.64
140,3.85,3.63
141,3.83,3.61
142,3.81,3.60
143,3.78,3.59
144,3.77,3.59
145,3.77,3.60
146,3.79,3.61
147,3.81,3.62
148,3.84,3.64
149,3.87,3.67
150,3.90,3.67
151,3.90,3.67
153,3.90,3.66
154,3.89,3.65
155,3.87,3.64
156,3.85,3.63
157,3.82,3.61
158,3.80,3.59
159,3.77,3.58
160,3.76,3.58
161,3.76,3.59
162,3.78,3.60
163,3.80,3.62
164,3.83,3.64
165,3.86,3.66
167,3.89,3.67
168,3.90,3.68
169,3.90,3.67
171,3.89,3.65
172,3.87,3.64
173,3.85,3.63
174,3.83,3.61
175,3.81,3.60
176,3.78,3.59
177,3.77,3.58
178,3.77,3.59
179,3.78,3.60
180,3.80,3.62
182,3.83,3.64
183,3.86,3.66
184,3.89,3.68
185,3.91,3.68
186,3.91,3.67
187,3.89,3.66
188,3.88,3.65
189,3.86,3.64
190,3.83,3.62
191,3.81,3.60
192,3.79,3.59
193,3.77,3.59
195,3.77,3.59
196,3.78,3.60
197,3.80,3.62
198,3.83,3.64
199,3.86,3.66
200,3.89,3.67
201,3.90,3.67
202,3.90,3.67
203,3.89,3.65
204,3.87,3.64
205,3.85,3.63
206,3.83,3.61
207,3.81,3.60
209,3.78,3.58
210,3.76,3.58
211,3.76,3.58
212,3.77,3.59
214,3.80,3.61
215,3.82,3.63
216,3.85,3.65
217,3.88,3.67
218,3.90,3.67
219,3.90,3.67
220,3.89,3.66
221,3.88,3.65
222,3.86,3.64
224,3.84,3.62
225,3.81,3.60
226,3.79,3.59
227,3.77,3.59
228,3.77,3.59
229,3.78,3.60
230,3.80,3.61
231,3.82,3.63
232,3.85,3.65
233,3.88,3.67
234,3.90,3.68
235,3.91,3.67
236,3.90,3.66
237,3.88,3.65
239,3.87,3.64
240,3.84,3.63
241,3.82,3.61
242,3.79,3.60
243,3.77,3.58
244,3.77,3.59
245,3.78,3.60
246,3.80,3.61
247,3.82,3.63
248,3.85,3.65
249,3.88,3.67
250,3.90,3.68
251,3.90,3.67
253,3.89,3.66
254,3.88,3.65
256,3.86,3.63
257,3.84,3.62
258,3.81,3.60
259,3.79,3.59
260,3.77,3.58
261,3.76,3.58
262,3.77,3.59
263,3.78,3.60
264,3.81,3.62
265,3.84,3.64
266,3.87,3.66
268,3.89,3.67
269,3.90,3.67
270,3.90,3.66
271,3.88,3.65
272,3.86,3.64
273,3.84,3.62
274,3.82,3.61
275,3.79,3.59
276,3.77,3.59
277,3.76,3.59
278,3.77,3.59
279,3.79,3.61
280,3.81,3.62
282,3.84,3.64
283,3.87,3.67
284,3.90,3.68
285,3.90,3.67
286,3.90,3.67
287,3.89,3.66
288,3.87,3.64
289,3.85,3.63
290,3.83,3.61
291,3.80,3.60
292,3.78,3.59
293,3.77,3.59
294,3.77,3.59
296,3.79,3.61
297,3.81,3.62
299,3.84,3.64
300,3.87,3.67
301,3.90,3.68
302,3.90,3.67
303,3.90,3.66
304,3.88,3.65
305,3.87,3.64
306,3.84,3.63
307,3.82,3.61
308,3.80,3.59
309,3.77,3.58
311,3.76,3.58
312,3.76,3.59
313,3.78,3.60
314,3.80,3.61
315,3.83,3.64
316,3.86,3.66
317,3.89,3.67
318,3.90,3.67
319,3.90,3.67
320,3.89,3.65
321,3.87,3.64
322,3.85,3.63
324,3.83,3.61
325,3.80,3.60
326,3.78,3.58
327,3.76,3.59
328,3.77,3.59
329,3.78,3.60
330,3.80,3.62
331,3.83,3.64
332,3.86,3.66
333,3.89,3.68
334,3.90,3.68
335,3.90,3.67
336,3.89,3.66
338,3.88,3.65
339,3.86,3.63
340,3.84,3.62
342,3.81,3.60
343,3.78,3.59
344,3.77,3.59
345,3.77,3.59
346,3.78,3.61
347,3.81,3.62
348,3.83,3.64
349,3.86,3.66
350,3.89,3.68
351,3.90,3.67
353,3.90,3.67
354,3.89,3.66
355,3.87,3.64
356,3.85,3.63
357,3.83,3.62
358,3.81,3.60
359,3.78,3.58
360,3.76,3.58
361,3.76,3.59
362,3.78,3.60
363,3.80,3.61
364,3.83,3.63
365,3.85,3.65
367,3.89,3.67
368,3.90,3.67
369,3.90,3.67
370,3.89,3.67
371,3.88,3.65
372,3.86,3.63
373,3.84,3.62
374,3.81,3.60
375,3.79,3.59
376,3.77,3.59
377,3.77,3.59
378,3.78,3.60
379,3.80,3.61
381,3.82,3.63
382,3.85,3.65
384,3.89,3.67
385,3.90,3.68
386,3.91,3.67
387,3.90,3.66
388,3.88,3.65
389,3.87,3.64
390,3.84,3.63
391,3.82,3.61
392,3.79,3.59
393,3.77,3.59
394,3.77,3.59
396,3.78,3.60
397,3.80,3.62
398,3.83,3.63
399,3.86,3.65
400,3.89,3.67
401,3.90,3.68
402,3.90,3.67
403,3.90,3.66
404,3.88,3.65
405,3.86,3.63
406,3.84,3.62
407,3.82,3.60
408,3.79,3.59
410,3.77,3.58
411,3.76,3.58
412,3.77,3.59
413,3.79,3.61
414,3.82,3.62
415,3.85,3.65
416,3.88,3.67
417,3.90,3.67
418,3.90,3.67
419,3.90,3.66
420,3.88,3.65
421,3.86,3.64
422,3.84,3.62
424,3.82,3.61
425,3.79,3.59
427,3.77,3.58
428,3.76,3.59
429,3.77,3.59
430,3.79,3.61
431,3.82,3.62
432,3.85,3.65
433,3.88,3.67
434,3.90,3.68
435,3.91,3.67
436,3.90,3.66
437,3.89,3.65
439,3.87,3.64
440,3.85,3.63
441,3.82,3.61
442,3.80,3.59
443,3.78,3.59
444,3.77,3.59
445,3.77,3.60
446,3.79,3.61
447,3.81,3.62
448,3.84,3.64
449,3.88,3.67
450,3.90,3.67
451,3.91,3.67
453,3.90,3.66
454,3.89,3.65
455,3.87,3.63
456,3.85,3.62
457,3.82,3.61
458,3.80,3.59
459,3.77,3.58
460,3.76,3.58
461,3.77,3.59
462,3.78,3.60
463,3.81,3.62
464,3.84,3.64
465,3.87,3.66
467,3.89,3.67
468,3.90,3.67
470,3.90,3.66
471,3.89,3.65
472,3.87,3.64
473,3.85,3.63
474,3.83,3.61
475,3.80,3.60
476,3.78,3.58
477,3.77,3.59
478,3.77,3.59
479,3.78,3.60
480,3.81,3.62
482,3.83,3.64
483,3.87,3.66
484,3.89,3.67
485,3.91,3.67
486,3.90,3.67
487,3.89,3.65
