655,228,1.1144
468,217,1.0606,227,1.1095
496,219,1.0704,229,1.1193
524,219,1.0704,229,1.1193
552,218,1.0655,227,1.1095
580,219,1.0704,229,1.1193
609,219,1.0704,230,1.1241
636,218,1.0655,227,1.1095
665,219,1.0704,229,1.1193
693,219,1.0704,229,1.1193
720,218,1.0655,228,1.1144
749,218,1.0655,228,1.1144
777,219,1.0704,230,1.1241
805,218,1.0655,228,1.1144
833,218,1.0655,228,1.1144
861,219,1.0704,229,1.1193
889,218,1.0655,229,1.1193
917,214,1.0459,224,1.0948
946,222,1.0850,231,1.1290
973,216,1.0557,224,1.0948
1002,213,1.0411,220,1.0753
1031,217,1.0606,224,1.0948
1059,217,1.0606,223,1.0899
1089,216,1.0557,223,1.0899
1118,216,1.0557,222,1.0850
1147,218,1.0655,224,1.0948
1176,218,1.0655,225,1.0997
1206,216,1.0557,223,1.0899
1234,216,1.0557,224,1.0948
1264,217,1.0606,225,1.0997
1293,217,1.0606,226,1.1046
1321,215,1.0508,224,1.0948
1351,216,1.0557,225,1.0997
1380,216,1.0557,225,1.0997
1410,218,1.0655,227,1.1095
1438,216,1.0557,226,1.1046
1468,216,1.0557,226,1.1046
1497,221,1.0802,233,1.1388
1525,234,1.1437,251,1.2268
1555,226,1.1046,252,1.2317
1584,215,1.0508,245,1.1975
1613,218,1.0655,249,1.2170
1642,219,1.0704,251,1.2268
1672,220,1.0753,254,1.2414
1700,211,1.0313,246,1.2023
1730,211,1.0313,242,1.1828
1759,212,1.0362,240,1.1730
1787,213,1.0411,237,1.1584
1817,212,1.0362,234,1.1437
1846,212,1.0362,231,1.1290
1875,211,1.0313,229,1.1193
1904,211,1.0313,227,1.1095
1934,210,1.0264,224,1.0948
1963,215,1.0508,227,1.1095
1991,214,1.0459,227,1.1095
2021,212,1.0362,223,1.0899
2050,210,1.0264,221,1.0802
2079,211,1.0313,219,1.0704
2108,211,1.0313,217,1.0606
2138,211,1.0313,216,1.0557
2166,212,1.0362,216,1.0557
2196,214,1.0459,217,1.0606
2225,215,1.0508,219,1.0704
2253,213,1.0411,216,1.0557
2283,213,1.0411,217,1.0606
2312,215,1.0508,218,1.0655
2341,216,1.0557,219,1.0704
2370,213,1.0411,217,1.0606
2400,213,1.0411,216,1.0557
2428,215,1.0508,217,1.0606
2457,214,1.0459,216,1.0557
2487,214,1.0459,215,1.0508
2515,213,1.0411,214,1.0459
2545,214,1.0459,214,1.0459
2574,213,1.0411,211,1.0313
2604,336,1.6422,331,1.6178
2632,387,1.8915,393,1.9208
2662,396,1.9355,410,2.0039
2691,406,1.9844,424,2.0723
2719,416,2.0332,437,2.1359
2749,425,2.0772,444,2.1701
2778,423,2.0674,440,2.1505
2807,425,2.0772,446,2.1799
2836,431,2.1065,454,2.2190
2866,438,2.1408,457,2.2336
2894,434,2.1212,452,2.2092
2923,432,2.1114,454,2.2190
2953,437,2.1359,459,2.2434
2981,441,2.1554,459,2.2434
3011,435,2.1261,451,2.2043
3040,431,2.1065,449,2.1945
3069,428,2.0919,447,2.1848
3098,321,1.5689,347,1.6960
3128,243,1.1877,267,1.3050
3156,226,1.1046,242,1.1828
3185,214,1.0459,224,1.0948
3215,210,1.0264,218,1.0655
3244,213,1.0411,220,1.0753
3273,213,1.0411,220,1.0753
3302,215,1.0508,223,1.0899
3332,210,1.0264,221,1.0802
3360,210,1.0264,223,1.0899
3389,212,1.0362,227,1.1095
3419,210,1.0264,228,1.1144
3447,208,1.0166,231,1.1290
3477,206,1.0068,231,1.1290
3506,204,0.9971,230,1.1241
3535,203,0.9922,228,1.1144
3564,205,1.0020,230,1.1241
3594,201,0.9824,226,1.1046
3622,204,0.9971,223,1.0899
3651,211,1.0313,234,1.1437
3681,206,1.0068,235,1.1486
3709,208,1.0166,241,1.1779
3739,201,0.9824,234,1.1437
3768,207,1.0117,237,1.1584
3798,205,1.0020,235,1.1486
3826,206,1.0068,234,1.1437
3855,207,1.0117,235,1.1486
3885,205,1.0020,233,1.1388
3913,205,1.0020,232,1.1339
3943,205,1.0020,230,1.1241
3972,205,1.0020,229,1.1193
4001,204,0.9971,227,1.1095
4030,205,1.0020,226,1.1046
4060,205,1.0020,225,1.0997
4088,204,0.9971,222,1.0850
4117,204,0.9971,219,1.0704
4147,204,0.9971,218,1.0655
4175,207,1.0117,220,1.0753
4205,208,1.0166,221,1.0802
4234,207,1.0117,219,1.0704
4263,208,1.0166,221,1.0802
4292,208,1.0166,222,1.0850
4321,208,1.0166,224,1.0948
4350,205,1.0020,220,1.0753
4379,208,1.0166,220,1.0753
4409,208,1.0166,220,1.0753
4438,285,1.3930,288,1.4076
4467,361,1.7644,352,1.7204
4496,401,1.9599,413,2.0186
4526,405,1.9795,419,2.0479
4554,415,2.0283,434,2.1212
4583,426,2.0821,447,2.1848
4613,432,2.1114,449,2.1945
4641,429,2.0968,447,2.1848
4671,430,2.1017,451,2.2043
4700,436,2.1310,459,2.2434
4729,440,2.1505,459,2.2434
4758,435,2.1261,455,2.2239
4787,432,2.1114,458,2.2385
4816,435,2.1261,462,2.2581
4845,435,2.1261,457,2.2336
4875,431,2.1065,453,2.2141
4903,432,2.1114,455,2.2239
4933,439,2.1457,462,2.2581
4962,442,2.1603,460,2.2483
4992,438,2.1408,456,2.2287
5020,437,2.1359,457,2.2336
5049,440,2.1505,461,2.2532
5079,438,2.1408,453,2.2141
5107,344,1.6813,363,1.7742
5137,247,1.2072,273,1.3343
5166,225,1.0997,247,1.2072
5195,212,1.0362,229,1.1193
5224,210,1.0264,225,1.0997
5253,211,1.0313,225,1.0997
5282,209,1.0215,223,1.0899
5311,209,1.0215,221,1.0802
5341,210,1.0264,223,1.0899
5369,211,1.0313,223,1.0899
5399,209,1.0215,221,1.0802
5428,210,1.0264,223,1.0899
5457,211,1.0313,225,1.0997
5486,212,1.0362,227,1.1095
5515,213,1.0411,230,1.1241
5544,213,1.0411,232,1.1339
5573,215,1.0508,237,1.1584
5603,214,1.0459,238,1.1632
5632,214,1.0459,239,1.1681
5661,212,1.0362,239,1.1681
5690,210,1.0264,236,1.1535
5719,208,1.0166,232,1.1339
5748,208,1.0166,230,1.1241
5777,208,1.0166,228,1.1144
5807,210,1.0264,229,1.1193
5835,209,1.0215,226,1.1046
5865,208,1.0166,224,1.0948
5894,209,1.0215,225,1.0997
5923,210,1.0264,225,1.0997
5952,211,1.0313,225,1.0997
5981,211,1.0313,224,1.0948
6010,211,1.0313,225,1.0997
6039,211,1.0313,225,1.0997
6069,212,1.0362,225,1.0997
6097,211,1.0313,225,1.0997
6127,212,1.0362,226,1.1046
6156,212,1.0362,227,1.1095
6184,212,1.0362,227,1.1095
6214,211,1.0313,227,1.1095
6243,210,1.0264,227,1.1095
6273,210,1.0264,227,1.1095
6301,212,1.0362,228,1.1144
6331,211,1.0313,226,1.1046
6360,210,1.0264,226,1.1046
6389,213,1.0411,229,1.1193
6418,211,1.0313,227,1.1095
6447,212,1.0362,225,1.0997
6476,366,1.7889,363,1.7742
6505,401,1.9599,417,2.0381
6535,419,2.0479,441,2.1554
6563,435,2.1261,458,2.2385
6593,443,2.1652,461,2.2532
6622,443,2.1652,465,2.2727
6650,446,2.1799,471,2.3021
6680,452,2.2092,477,2.3314
6709,453,2.2141,473,2.3118
6738,449,2.1945,473,2.3118
6767,449,2.1945,475,2.3216
6797,454,2.2190,480,2.3460
6825,453,2.2141,474,2.3167
6855,449,2.1945,473,2.3118
6884,448,2.1896,475,2.3216
6913,454,2.2190,478,2.3363
6942,453,2.2141,472,2.3069
6971,439,2.1457,460,2.2483
7001,440,2.1505,462,2.2581
7029,446,2.1799,467,2.2825
7059,444,2.1701,460,2.2483
7088,436,2.1310,453,2.2141
7116,360,1.7595,445,2.1750
7146,239,1.1681,281,1.3734
7175,230,1.1241,262,1.2805
7204,221,1.0802,241,1.1779
7233,213,1.0411,226,1.1046
7263,210,1.0264,221,1.0802
7291,211,1.0313,221,1.0802
7321,212,1.0362,221,1.0802
7350,211,1.0313,220,1.0753
7378,211,1.0313,219,1.0704
7408,212,1.0362,220,1.0753
7437,212,1.0362,221,1.0802
7467,212,1.0362,221,1.0802
7495,212,1.0362,221,1.0802
7525,214,1.0459,225,1.0997
7554,214,1.0459,228,1.1144
7582,215,1.0508,231,1.1290
7612,214,1.0459,233,1.1388
7641,215,1.0508,237,1.1584
7670,214,1.0459,236,1.1535
7699,211,1.0313,233,1.1388
7729,210,1.0264,231,1.1290
7757,210,1.0264,230,1.1241
7787,210,1.0264,229,1.1193
7816,209,1.0215,227,1.1095
7844,209,1.0215,226,1.1046
7874,210,1.0264,226,1.1046
7903,209,1.0215,224,1.0948
7932,208,1.0166,222,1.0850
7961,208,1.0166,221,1.0802
7991,210,1.0264,223,1.0899
8019,210,1.0264,222,1.0850
8048,210,1.0264,221,1.0802
8078,210,1.0264,222,1.0850
8107,210,1.0264,222,1.0850
8136,211,1.0313,222,1.0850
8165,210,1.0264,222,1.0850
8195,211,1.0313,222,1.0850
8223,211,1.0313,223,1.0899
8253,211,1.0313,224,1.0948
8282,210,1.0264,223,1.0899
8310,210,1.0264,223,1.0899
8340,209,1.0215,224,1.0948
8369,210,1.0264,224,1.0948
8398,209,1.0215,224,1.0948
8427,209,1.0215,223,1.0899
8457,210,1.0264,224,1.0948
8485,210,1.0264,224,1.0948
8514,245,1.1975,258,1.2610
8544,373,1.8231,366,1.7889
8572,397,1.9404,409,1.9990
8602,414,2.0235,431,2.1065
8631,425,2.0772,445,2.1750
8660,436,2.1310,456,2.2287
8689,436,2.1310,452,2.2092
8719,434,2.1212,454,2.2190
8748,435,2.1261,458,2.2385
8776,441,2.1554,463,2.2630
8806,439,2.1457,457,2.2336
8835,435,2.1261,458,2.2385
8864,436,2.1310,461,2.2532
8893,442,2.1603,465,2.2727
8923,440,2.1505,459,2.2434
8951,437,2.1359,459,2.2434
8980,439,2.1457,462,2.2581
9010,445,2.1750,466,2.2776
9038,442,2.1603,459,2.2434
9068,440,2.1505,459,2.2434
9097,441,2.1554,461,2.2532
9126,446,2.1799,465,2.2727
9155,440,2.1505,455,2.2239
9185,408,1.9941,421,2.0577
9213,271,1.3245,284,1.3881
9242,232,1.1339,253,1.2366
9272,216,1.0557,232,1.1339
9300,209,1.0215,222,1.0850
9330,212,1.0362,224,1.0948
9359,211,1.0313,222,1.0850
9389,211,1.0313,222,1.0850
9417,210,1.0264,221,1.0802
9446,211,1.0313,221,1.0802
9476,211,1.0313,220,1.0753
9504,211,1.0313,222,1.0850
9534,211,1.0313,223,1.0899
9563,210,1.0264,221,1.0802
9592,211,1.0313,223,1.0899
9621,213,1.0411,226,1.1046
9651,214,1.0459,228,1.1144
9679,214,1.0459,230,1.1241
9708,214,1.0459,232,1.1339
9738,214,1.0459,234,1.1437
9766,213,1.0411,233,1.1388
9796,209,1.0215,230,1.1241
9825,210,1.0264,231,1.1290
9854,210,1.0264,231,1.1290
9883,210,1.0264,230,1.1241
9912,209,1.0215,228,1.1144
9942,209,1.0215,227,1.1095
9970,211,1.0313,228,1.1144
10000,211,1.0313,227,1.1095
10030,210,1.0264,226,1.1046
10060,209,1.0215,223,1.0899
10090,210,1.0264,223,1.0899
10121,210,1.0264,222,1.0850
10150,209,1.0215,219,1.0704
10181,210,1.0264,218,1.0655
10211,210,1.0264,217,1.0606
10241,211,1.0313,217,1.0606
10271,212,1.0362,219,1.0704
10301,213,1.0411,221,1.0802
10332,212,1.0362,221,1.0802
10361,210,1.0264,220,1.0753
10392,210,1.0264,219,1.0704
10422,211,1.0313,221,1.0802
10452,211,1.0313,222,1.0850
10482,211,1.0313,221,1.0802
10512,211,1.0313,220,1.0753
10543,315,1.5396,318,1.5543
10572,384,1.8768,386,1.8866
10603,406,1.9844,419,2.0479
10633,420,2.0528,436,2.1310
10663,429,2.0968,447,2.1848
10693,437,2.1359,457,2.2336
10724,442,2.1603,460,2.2483
10754,439,2.1457,455,2.2239
10784,438,2.1408,456,2.2287
10814,437,2.1359,458,2.2385
10844,440,2.1505,462,2.2581
10874,444,2.1701,465,2.2727
10904,443,2.1652,460,2.2483
10935,440,2.1505,458,2.2385
10964,439,2.1457,459,2.2434
10995,441,2.1554,462,2.2581
11025,445,2.1750,466,2.2776
11056,446,2.1799,463,2.2630
11085,442,2.1603,459,2.2434
11116,441,2.1554,459,2.2434
11146,441,2.1554,461,2.2532
11175,444,2.1701,463,2.2630
11206,356,1.7400,405,1.9795
11236,249,1.2170,285,1.3930
11267,230,1.1241,258,1.2610
11296,218,1.0655,236,1.1535
11327,212,1.0362,227,1.1095
11357,213,1.0411,226,1.1046
11387,212,1.0362,225,1.0997
11417,213,1.0411,224,1.0948
11448,214,1.0459,224,1.0948
11478,213,1.0411,223,1.0899
11507,214,1.0459,226,1.1046
11538,212,1.0362,224,1.0948
11568,213,1.0411,225,1.0997
11598,214,1.0459,226,1.1046
11628,215,1.0508,228,1.1144
11659,215,1.0508,230,1.1241
11688,215,1.0508,232,1.1339
11719,217,1.0606,236,1.1535
11749,216,1.0557,237,1.1584
11780,215,1.0508,237,1.1584
11809,211,1.0313,232,1.1339
11839,211,1.0313,231,1.1290
11870,212,1.0362,231,1.1290
11899,211,1.0313,229,1.1193
11930,211,1.0313,227,1.1095
11960,211,1.0313,224,1.0948
11991,210,1.0264,224,1.0948
12020,211,1.0313,223,1.0899
12051,212,1.0362,223,1.0899
12081,212,1.0362,222,1.0850
12111,213,1.0411,222,1.0850
12141,212,1.0362,221,1.0802
12171,214,1.0459,223,1.0899
12201,212,1.0362,221,1.0802
12231,214,1.0459,221,1.0802
12262,214,1.0459,221,1.0802
12292,214,1.0459,221,1.0802
12322,214,1.0459,222,1.0850
12352,215,1.0508,223,1.0899
12383,215,1.0508,223,1.0899
12412,214,1.0459,222,1.0850
12442,212,1.0362,220,1.0753
12473,211,1.0313,218,1.0655
12503,212,1.0362,218,1.0655
12533,214,1.0459,219,1.0704
12563,214,1.0459,219,1.0704
12594,259,1.2659,263,1.2854
12623,369,1.8035,355,1.7351
12654,408,1.9941,419,2.0479
12684,415,2.0283,428,2.0919
12715,427,2.0870,443,2.1652
12744,433,2.1163,452,2.2092
12774,440,2.1505,460,2.2483
12805,445,2.1750,463,2.2630
12834,442,2.1603,458,2.2385
12865,441,2.1554,459,2.2434
12895,441,2.1554,461,2.2532
12925,445,2.1750,465,2.2727
12955,449,2.1945,468,2.2874
12986,447,2.1848,462,2.2581
13016,443,2.1652,459,2.2434
13046,442,2.1603,461,2.2532
13076,443,2.1652,462,2.2581
13106,446,2.1799,464,2.2678
13136,302,1.4761,301,1.4712
13166,240,1.1730,252,1.2317
13197,219,1.0704,228,1.1144
13227,214,1.0459,220,1.0753
13257,217,1.0606,221,1.0802
13287,216,1.0557,220,1.0753
13318,216,1.0557,220,1.0753
13347,217,1.0606,221,1.0802
13378,217,1.0606,220,1.0753
13408,217,1.0606,220,1.0753
13437,214,1.0459,219,1.0704
13468,214,1.0459,219,1.0704
13498,219,1.0704,224,1.0948
13529,221,1.0802,233,1.1388
13558,219,1.0704,246,1.2023
13589,210,1.0264,256,1.2512
13619,204,0.9971,264,1.2903
13649,196,0.9580,264,1.2903
13679,192,0.9384,255,1.2463
13710,198,0.9677,254,1.2414
13740,197,0.9629,251,1.2268
13769,196,0.9580,251,1.2268
13800,198,0.9677,255,1.2463
13830,195,0.9531,253,1.2366
13860,193,0.9433,253,1.2366
13890,190,0.9286,252,1.2317
13921,190,0.9286,255,1.2463
13950,189,0.9238,258,1.2610
13981,186,0.9091,256,1.2512
14011,184,0.8993,251,1.2268
14042,186,0.9091,249,1.2170
14071,188,0.9189,247,1.2072
14101,188,0.9189,243,1.1877
14132,191,0.9335,245,1.1975
14161,192,0.9384,241,1.1779
14192,199,0.9726,239,1.1681
14222,200,0.9775,234,1.1437
14253,201,0.9824,230,1.1241
14282,201,0.9824,228,1.1144
14313,201,0.9824,227,1.1095
14343,203,0.9922,228,1.1144
14372,203,0.9922,228,1.1144
14403,201,0.9824,228,1.1144
14433,202,0.9873,230,1.1241
14464,202,0.9873,231,1.1290
14493,202,0.9873,231,1.1290
14524,199,0.9726,229,1.1193
14554,343,1.6764,349,1.7058
14584,393,1.9208,404,1.9746
14614,411,2.0088,428,2.0919
14645,422,2.0626,443,2.1652
14674,431,2.1065,454,2.2190
14704,440,2.1505,463,2.2630
14735,444,2.1701,464,2.2678
14765,442,2.1603,463,2.2630
14795,441,2.1554,464,2.2678
14825,442,2.1603,467,2.2825
14856,446,2.1799,472,2.3069
14885,449,2.1945,472,2.3069
14916,447,2.1848,467,2.2825
14946,444,2.1701,468,2.2874
14977,443,2.1652,470,2.2972
15006,447,2.1848,473,2.3118
15036,450,2.1994,475,2.3216
15067,450,2.1994,471,2.3021
15096,446,2.1799,469,2.2923
15127,444,2.1701,469,2.2923
15157,445,2.1750,471,2.3021
15187,449,2.1945,474,2.3167
15217,412,2.0137,437,2.1359
15248,250,1.2219,297,1.4516
15278,202,0.9873,263,1.2854
15308,191,0.9335,248,1.2121
15338,193,0.9433,248,1.2121
15368,191,0.9335,247,1.2072
15398,191,0.9335,247,1.2072
15428,191,0.9335,247,1.2072
