time_ms,ch1_v,ch2_v
136735,1.9212,2.7722
136736,1.9083,2.7625
136737,1.9139,2.7633
136738,1.9131,2.7875
136739,1.9123,2.7778
136740,1.9107,2.7722
136741,1.9188,2.7722
136742,1.9188,2.7714
136743,1.9188,2.7448
136744,1.9171,2.7133
136745,1.9163,2.6859
136746,1.9171,2.6464
136747,1.9107,2.6182
136748,1.9083,2.5884
136749,1.9083,2.5554
136750,1.9010,2.5264
136751,1.8954,2.4933
136752,1.8954,2.4611
136753,1.8873,2.4377
136754,1.8825,2.4232
136755,1.8881,2.4111
136756,1.8817,2.4127
136757,1.8809,2.4216
136758,1.8849,2.4297
136759,1.8857,2.4232
136760,1.8914,2.4136
136761,1.8809,2.3870
136762,1.8897,2.3757
136763,1.8825,2.3604
136764,1.8793,2.3394
136765,1.8752,2.3185
136766,1.8752,2.3007
136767,1.8696,2.2749
136768,1.8696,2.2580
136769,1.8648,2.2403
136770,1.8615,2.2282
136771,1.8486,2.2193
136772,1.8478,2.2492
136773,1.8551,2.2467
136774,1.8599,2.2653
136775,1.8640,2.2717
136776,1.8656,2.2693
136777,1.8704,2.2701
136778,1.8696,2.2564
136779,1.8704,2.2322
136780,1.8688,2.2218
136781,1.8543,2.2064
136782,1.8543,2.1960
136783,1.8591,2.1782
136784,1.8559,2.1613
136785,1.8511,2.1363
136786,1.8486,2.1307
136787,1.8414,2.1218
136788,1.8406,2.1259
136789,1.8390,2.1388
136790,1.8454,2.1645
136791,1.8462,2.1895
136792,1.8575,2.2000
136793,1.8599,2.1944
136794,1.8640,2.1887
136795,1.8575,2.1790
136796,1.8591,2.1662
136797,1.8559,2.1460
136798,1.8559,2.1291
136799,1.8535,2.1162
136800,1.8535,2.0977
136801,1.8495,2.0622
136802,1.8527,2.0582
136803,1.8293,2.0372
136804,1.8382,2.0308
136805,1.8390,2.0437
136806,1.8390,2.0622
136807,1.8301,2.0912
136808,1.8446,2.1146
136809,1.8559,2.1234
136810,1.8503,2.1218
136811,1.8575,2.1146
136812,1.8615,2.1105
136813,1.8559,2.0960
136814,1.8583,2.0936
136815,1.8527,2.0622
136816,1.8519,2.0525
136817,1.8462,2.0388
136818,1.8462,2.0267
136819,1.8438,2.0122
136820,1.8349,2.0010
136821,1.8333,2.0058
136822,1.8333,2.0211
136823,1.8390,2.0501
136824,1.8406,2.0799
136825,1.8543,2.1017
136826,1.8519,2.1073
136827,1.8575,2.1122
136828,1.8591,2.1017
136829,1.8527,2.0960
136830,1.8519,2.0815
136831,1.8527,2.0622
136832,1.8478,2.0501
136833,1.8478,2.0404
136834,1.8454,2.0259
136835,1.8438,2.0138
136836,1.8398,2.0034
136837,1.8398,2.0010
136838,1.8333,2.0114
136839,1.8309,2.0243
136840,1.8430,2.0590
136841,1.8438,2.0904
136842,1.8438,2.1130
136843,1.8486,2.0622
136844,1.8575,2.1065
136845,1.8551,2.0977
136846,1.8543,2.0622
136847,1.8495,2.0622
136848,1.8454,2.0622
136849,1.8422,2.0493
136850,1.8358,2.0364
136851,1.8398,2.0203
136852,1.8325,2.0106
136853,1.8333,1.9985
136854,1.8301,1.9993
136855,1.8366,2.0010
136856,1.8221,2.0421
136857,1.8301,2.0622
136858,1.8422,2.0977
136859,1.8430,2.1097
136860,1.8446,2.1049
136861,1.8454,2.1025
136862,1.8446,2.0993
136863,1.8446,2.0872
136864,1.8462,2.0622
136865,1.8414,2.0590
136866,1.8333,2.0485
136867,1.8341,2.0300
136868,1.8317,2.0227
136869,1.8333,2.0074
136870,1.8293,1.9961
136871,1.8221,1.9969
136872,1.8221,2.0195
136873,1.8285,2.0259
136874,1.8382,2.0493
136875,1.8422,2.0558
136876,1.8422,2.0606
136877,1.8414,2.0501
136878,1.8422,2.0485
136879,1.8398,2.0356
136880,1.8398,2.0445
136881,1.8301,2.0155
136882,1.8221,2.0026
136883,1.8317,1.9921
136884,1.8277,1.9816
136885,1.8229,1.9808
136886,1.8269,1.9929
136887,1.8204,2.0026
136888,1.8229,2.0292
136889,1.8229,2.0574
136890,1.8261,2.0856
136891,1.8285,2.1162
136892,1.8269,2.1436
