time_ms,ch1_v,ch2_v
49,1.15,1.28
50,1.13,1.26
51,1.11,1.24
52,1.09,1.23
53,1.07,1.21
54,1.05,1.21
55,1.05,1.22
56,1.06,1.23
57,1.07,1.24
58,1.09,1.26
59,1.11,1.27
61,1.14,1.30
62,1.16,1.30
63,1.17,1.30
64,1.17,1.30
65,1.16,1.29
66,1.15,1.27
67,1.13,1.26
68,1.11,1.24
69,1.09,1.22
70,1.07,1.21
71,1.05,1.21
72,1.05,1.21
73,1.06,1.23
74,1.08,1.24
75,1.09,1.26
76,1.11,1.28
77,1.14,1.29
78,1.16,1.30
79,1.17,1.30
80,1.17,1.30
81,1.16,1.29
82,1.15,1.27
83,1.13,1.25
84,1.11,1.24
86,1.09,1.22
87,1.06,1.20
88,1.05,1.20
89,1.05,1.21
90,1.06,1.22
91,1.08,1.24
92,1.09,1.26
93,1.12,1.28
94,1.14,1.29
95,1.17,1.30
96,1.18,1.30
97,1.17,1.30
98,1.16,1.28
99,1.15,1.27
100,1.13,1.25
101,1.10,1.23
102,1.09,1.22
104,1.06,1.20
105,1.05,1.20
106,1.05,1.21
107,1.06,1.23
108,1.09,1.25
109,1.10,1.26
110,1.13,1.28
111,1.16,1.30
112,1.17,1.30
113,1.18,1.30
114,1.17,1.29
115,1.15,1.27
116,1.13,1.25
117,1.11,1.24
119,1.09,1.22
120,1.07,1.20
121,1.05,1.20
122,1.05,1.21
123,1.06,1.23
124,1.08,1.24
125,1.10,1.26
126,1.12,1.28
128,1.15,1.30
129,1.17,1.30
130,1.18,1.30
131,1.17,1.29
132,1.15,1.27
133,1.14,1.26
135,1.11,1.24
136,1.09,1.22
137,1.07,1.20
138,1.05,1.20
139,1.05,1.21
140,1.06,1.22
141,1.08,1.24
142,1.09,1.26
143,1.12,1.28
144,1.15,1.30
145,1.17,1.30
146,1.17,1.30
147,1.17,1.29
148,1.16,1.28
150,1.14,1.26
151,1.12,1.24
152,1.09,1.22
153,1.07,1.20
154,1.05,1.20
155,1.05,1.21
156,1.06,1.22
157,1.07,1.23
158,1.09,1.25
159,1.11,1.27
160,1.14,1.29
161,1.17,1.30
162,1.18,1.30
163,1.17,1.29
164,1.16,1.28
166,1.14,1.26
167,1.12,1.25
168,1.10,1.23
169,1.08,1.21
171,1.05,1.20
172,1.05,1.20
173,1.06,1.21
174,1.07,1.23
175,1.09,1.25
176,1.11,1.27
177,1.14,1.29
178,1.16,1.30
179,1.17,1.30
180,1.17,1.29
182,1.16,1.28
183,1.14,1.26
184,1.12,1.25
185,1.10,1.23
186,1.08,1.21
187,1.06,1.20
188,1.05,1.20
189,1.05,1.21
190,1.07,1.23
191,1.09,1.24
192,1.11,1.26
193,1.13,1.28
194,1.16,1.30
195,1.17,1.30
197,1.17,1.29
198,1.16,1.28
199,1.15,1.27
200,1.13,1.25
201,1.11,1.23
202,1.09,1.21
203,1.06,1.20
204,1.05,1.19
205,1.05,1.21
206,1.06,1.22
207,1.08,1.24
208,1.10,1.26
209,1.13,1.28
210,1.15,1.30
212,1.17,1.30
214,1.17,1.29
215,1.17,1.28
216,1.15,1.27
217,1.13,1.25
218,1.11,1.23
219,1.09,1.21
220,1.07,1.20
221,1.05,1.20
222,1.05,1.20
223,1.06,1.22
224,1.08,1.23
225,1.09,1.25
226,1.12,1.27
227,1.15,1.29
229,1.17,1.30
