time_ms,ch1_v,ch2_v
361903,1.7455,2.3507
361904,1.7536,2.3596
361905,1.7447,2.3805
361906,1.7447,2.3588
361907,1.7511,2.3555
361908,1.7431,2.3588
361909,1.7447,2.3547
361910,1.7463,2.3684
361911,1.7431,2.3588
361912,1.7455,2.3596
361913,1.7503,2.3596
361914,1.7431,2.3451
361915,1.7447,2.3539
361916,1.7479,2.3588
361917,1.7447,2.3547
361918,1.7471,2.3539
361919,1.7455,2.3547
361920,1.7479,2.3515
361921,1.7527,2.3523
361922,1.7447,2.3579
361923,1.7463,2.3555
361924,1.7431,2.3539
361925,1.7495,2.3579
361926,1.7560,2.3588
361927,1.7455,2.3588
361928,1.7487,2.3571
361929,1.7463,2.3571
361930,1.7439,2.3612
361931,1.7487,2.3547
361932,1.7487,2.3571
361933,1.7479,2.3523
361934,1.7487,2.3571
361935,1.7431,2.3547
361936,1.7487,2.3579
361937,1.7487,2.3579
361938,1.7568,2.3555
361939,1.7455,2.3596
361940,1.7463,2.3539
361941,1.7471,2.3596
361942,1.7455,2.3588
361943,1.7447,2.3571
361944,1.7487,2.3555
361945,1.7479,2.3596
361946,1.7479,2.3515
361947,1.7463,2.3596
361948,1.7479,2.3547
361949,1.7487,2.3555
361950,1.7439,2.3386
361951,1.7415,2.3563
361952,1.7455,2.3588
361953,1.7447,2.3579
361954,1.7463,2.3588
361955,1.7455,2.3547
361956,1.7415,2.3515
361957,1.7511,2.3571
361958,1.7463,2.3596
361959,1.7487,2.3588
361960,1.7431,2.3596
361961,1.7455,2.3571
361962,1.7511,2.3596
361963,1.7447,2.3579
361964,1.7463,2.3708
361965,1.7431,2.3555
361966,1.7479,2.3571
361967,1.7423,2.3571
361968,1.7455,2.3547
361969,1.7495,2.3539
361970,1.7423,2.3555
361971,1.7487,2.3579
361972,1.7423,2.3555
361973,1.7487,2.3539
361974,1.7439,2.3555
361975,1.7463,2.3579
361976,1.7447,2.3588
361977,1.7431,2.3555
361978,1.7439,2.3563
361979,1.7423,2.3571
361980,1.7407,2.3579
361981,1.7439,2.3588
361982,1.7415,2.3596
361983,1.7479,2.3571
361984,1.7407,2.3555
361985,1.7455,2.3555
361986,1.7415,2.3563
361987,1.7415,2.3555
361988,1.7439,2.3539
361989,1.7407,2.3555
361990,1.7479,2.3507
361991,1.7407,2.3547
361992,1.7423,2.3563
361993,1.7463,2.3596
361994,1.7431,2.3539
361995,1.7479,2.3491
361996,1.7431,2.3596
361997,1.7479,2.3539
361998,1.7487,2.3571
361999,1.7487,2.3596
362000,1.7503,2.3588
362001,1.7479,2.3555
362002,1.7471,2.3596
362003,1.7479,2.3579
362004,1.7479,2.3555
362005,1.7431,2.3636
362006,1.7455,2.3571
362007,1.7511,2.3596
362008,1.7455,2.3588
362009,1.7519,2.3588
362010,1.7479,2.3579
362011,1.7527,2.3571
362012,1.7527,2.3596
362013,1.7455,2.3588
362014,1.7415,2.3547
362015,1.7463,2.3571
362016,1.7503,2.3555
362017,1.7479,2.3579
362018,1.7471,2.3547
362019,1.7455,2.3571
362020,1.7447,2.3571
362021,1.7463,2.3571
362022,1.7463,2.3716
362023,1.7519,2.3596
362024,1.7479,2.3563
362025,1.7407,2.3571
362026,1.7455,2.3539
362027,1.7487,2.3579
362028,1.7487,2.3579
362029,1.7455,2.3571
362030,1.7479,2.3515
362031,1.7423,2.3579
362032,1.7479,2.3579
362033,1.7495,2.3523
362034,1.7447,2.3588
362035,1.7503,2.3604
362036,1.7479,2.3571
362037,1.7447,2.3636
362038,1.7423,2.3515
362039,1.7415,2.3507
362040,1.7415,2.3588
362041,1.7463,2.3588
362042,1.7487,2.3523
362043,1.7407,2.3523
362044,1.7495,2.3555
362045,1.7431,2.3571
362046,1.7431,2.3571
362047,1.7423,2.3515
362048,1.7447,2.3571
362049,1.7495,2.3523
362050,1.7487,2.3563
362051,1.7431,2.3579
362052,1.7511,2.3571
362053,1.7447,2.3596
362054,1.7463,2.3523
362055,1.7423,2.3596
362056,1.7439,2.3515
362057,1.7415,2.3588
362058,1.7463,2.3588
362059,1.7479,2.3467
362060,1.7407,2.3571
362061,1.7455,2.3539
362062,1.7431,2.3491
362063,1.7463,2.3579
362064,1.7455,2.3539
362065,1.7447,2.3555
362066,1.7511,2.3571
362067,1.7455,2.3588
362068,1.7487,2.3596
362069,1.7463,2.3588
362070,1.7511,2.3588
362071,1.7487,2.3555
362072,1.7447,2.3571
362073,1.7455,2.3588
362074,1.7423,2.3523
362075,1.7447,2.3596
362076,1.7511,2.3588
362077,1.7382,2.3596
362078,1.7407,2.3523
362079,1.7536,2.3555
362080,1.7423,2.3588
362081,1.7334,2.3555
362082,1.7487,2.3547
362083,1.7487,2.3579
362084,1.7503,2.3571
362085,1.7463,2.3571
362086,1.7431,2.3555
362087,1.7423,2.3555
362088,1.7479,2.3547
362089,1.7399,2.3547
362090,1.7479,2.3588
362091,1.7519,2.3588
362092,1.7648,2.3588
362093,1.7495,2.3596
362094,1.7447,2.3571
362095,1.7407,2.3579
362096,1.7447,2.3579
362097,1.7455,2.3588
362098,1.7447,2.3596
362099,1.7415,2.3547
362100,1.7479,2.3596
362101,1.7455,2.3410
362102,1.7487,2.3539
362103,1.7463,2.3596
362104,1.7447,2.3515
362105,1.7423,2.3596
362106,1.7463,2.3596
362107,1.7511,2.3515
362108,1.7455,2.3588
362109,1.7407,2.3539
362110,1.7423,2.3547
362111,1.7455,2.3588
362112,1.7495,2.3547
362113,1.7487,2.3596
362114,1.7487,2.3596
362115,1.7463,2.3596
362116,1.7471,2.3563
362117,1.7447,2.3579
362118,1.7431,2.3579
362119,1.7455,2.3571
362120,1.7447,2.3579
362121,1.7407,2.3579
362122,1.7463,2.3547
362123,1.7447,2.3579
362124,1.7463,2.3555
362125,1.7455,2.3555
362126,1.7407,2.3571
362127,1.7415,2.3579
362128,1.7463,2.3725
362129,1.7455,2.3418
362130,1.7463,2.3515
362131,1.7495,2.3725
362132,1.7511,2.3555
362133,1.7463,2.3596
362134,1.7479,2.3588
362135,1.7358,2.3588
362136,1.7423,2.3644
362137,1.7431,2.3523
362138,1.7415,2.3596
362139,1.7511,2.3555
362140,1.7463,2.3547
362141,1.7471,2.3539
362142,1.7431,2.3547
362143,1.7423,2.3588
362144,1.7463,2.3555
362145,1.7447,2.3555
362146,1.7447,2.3579
362147,1.7447,2.3539
362148,1.7447,2.3555
362149,1.7423,2.3579
362150,1.7423,2.3555
362151,1.7447,2.3555
362152,1.7439,2.3596
362153,1.7455,2.3547
362154,1.7479,2.3596
362155,1.7423,2.3547
362156,1.7415,2.3628
362157,1.7415,2.3596
362158,1.7262,2.3491
362159,1.7423,2.3515
362160,1.7423,2.3555
362161,1.7463,2.3547
362162,1.7415,2.3596
362163,1.7415,2.3604
362164,1.7407,2.3571
362165,1.7431,2.3579
362166,1.7407,2.3523
362167,1.7407,2.3571
362168,1.7415,2.3579
362169,1.7463,2.3596
362170,1.7431,2.3555
362171,1.7415,2.3523
362172,1.7407,2.3555
362173,1.7415,2.3555
362174,1.7463,2.3571
362175,1.7431,2.3555
362176,1.7423,2.3797
362177,1.7407,2.3588
362178,1.7382,2.3555
362179,1.7447,2.3555
362180,1.7447,2.3571
362181,1.7431,2.3555
362182,1.7455,2.3579
362183,1.7479,2.3588
362184,1.7431,2.3563
362185,1.7471,2.3563
362186,1.7455,2.3596
362187,1.7447,2.3555
362188,1.7431,2.3588
362189,1.7487,2.3588
362190,1.7447,2.3563
362191,1.7455,2.3571
362192,1.7447,2.3579
362193,1.7479,2.3579
362194,1.7407,2.3555
362195,1.7447,2.3563
362196,1.7455,2.3539
362197,1.7415,2.3579
362198,1.7423,2.3571
362199,1.7455,2.3571
362200,1.7463,2.3579
362201,1.7407,2.3539
362202,1.7471,2.3547
362203,1.7479,2.3547
362204,1.7471,2.3555
362205,1.7439,2.3555
362206,1.7447,2.3547
362207,1.7471,2.3563
362208,1.7407,2.3547
362209,1.7487,2.3652
362210,1.7415,2.3571
362211,1.7479,2.3604
362212,1.7487,2.3596
362213,1.7479,2.3596
362214,1.7463,2.3579
362215,1.7463,2.3596
362216,1.7423,2.3547
362217,1.7656,2.3579
362218,1.7487,2.3571
362219,1.7415,2.3579
362220,1.7407,2.3555
362221,1.7431,2.3563
362222,1.7350,2.3547
362223,1.7431,2.3547
362224,1.7447,2.3539
362225,1.7431,2.3571
362226,1.7431,2.3547
362227,1.7471,2.3588
362228,1.7431,2.3596
362229,1.7487,2.3596
362230,1.7463,2.3620
362231,1.7455,2.3539
362232,1.7447,2.3596
362233,1.7463,2.3596
362234,1.7423,2.3620
362235,1.7439,2.3596
362236,1.7431,2.3588
362237,1.7455,2.3571
362238,1.7495,2.3588
362239,1.7487,2.3588
362240,1.7407,2.3588
362241,1.7479,2.3571
362242,1.7447,2.3555
362243,1.7399,2.3555
362244,1.7447,2.3547
362245,1.7407,2.3571
362246,1.7463,2.3596
362247,1.7447,2.3555
362248,1.7479,2.3563
362249,1.7455,2.3579
362250,1.7479,2.3539
362251,1.7439,2.3579
362252,1.7487,2.3588
362253,1.7455,2.3579
362254,1.7431,2.3596
362255,1.7455,2.3523
362256,1.7415,2.3394
362257,1.7431,2.3596
362258,1.7407,2.3555
362259,1.7455,2.3588
362260,1.7447,2.3644
362261,1.7431,2.3475
362262,1.7463,2.3588
362263,1.7447,2.3636
362264,1.7439,2.3596
362265,1.7407,2.3523
362266,1.7407,2.3563
362267,1.7463,2.3555
362268,1.7415,2.3571
362269,1.7503,2.3579
362270,1.7423,2.3563
362271,1.7423,2.3451
362272,1.7334,2.3596
362273,1.7455,2.3539
362274,1.7407,2.3555
362275,1.7423,2.3539
362276,1.7463,2.3555
362277,1.7455,2.3579
362278,1.7431,2.3588
362279,1.7423,2.3596
362280,1.7407,2.3555
362281,1.7407,2.3588
362282,1.7455,2.3579
362283,1.7407,2.3571
362284,1.7479,2.3563
362285,1.7431,2.3571
362286,1.7431,2.3588
362287,1.7495,2.3571
362288,1.7487,2.3555
362289,1.7407,2.3596
362290,1.7463,2.3547
362291,1.7423,2.3596
362292,1.7407,2.3547
362293,1.7455,2.3555
362294,1.7463,2.3596
362295,1.7447,2.3555
362296,1.7463,2.3571
362297,1.7431,2.3588
362298,1.7455,2.3555
362299,1.7447,2.3588
362300,1.7407,2.3547
362301,1.7455,2.3579
362302,1.7439,2.3596
362303,1.7423,2.3596
362304,1.7431,2.3491
362305,1.7455,2.3579
362306,1.7447,2.3571
362307,1.7447,2.3596
362308,1.7431,2.3547
362309,1.7463,2.3604
362310,1.7407,2.3588
362311,1.7439,2.3596
362312,1.7463,2.3386
362313,1.7423,2.3563
362314,1.7447,2.3571
362315,1.7439,2.3571
362316,1.7407,2.3571
362317,1.7447,2.3555
362318,1.7415,2.3596
362319,1.7415,2.3588
362320,1.7487,2.3547
362321,1.7415,2.3588
