time_ms,ch1_v,ch2_v
72,2.96,2.98
73,2.95,2.97
74,2.94,2.96
75,2.94,2.95
76,2.93,2.94
77,2.92,2.94
78,2.91,2.93
79,2.91,2.93
80,2.91,2.93
81,2.91,2.92
82,2.90,2.92
83,2.90,2.91
84,2.89,2.90
86,2.89,2.90
87,2.88,2.89
89,2.88,2.89
90,2.87,2.88
91,2.86,2.87
92,2.86,2.86
93,2.85,2.87
94,2.86,2.89
95,2.88,2.92
96,2.92,2.96
97,2.95,2.99
98,2.98,3.00
99,3.00,3.01
100,3.01,3.01
101,3.02,3.01
102,3.02,3.01
103,3.03,3.01
104,3.03,3.01
105,3.02,3.00
106,3.02,3.00
107,3.02,2.99
108,3.01,2.99
109,3.01,3.00
110,3.03,3.04
112,3.06,3.07
113,3.10,3.11
114,3.13,3.13
115,3.15,3.14
116,3.16,3.14
117,3.17,3.14
118,3.17,3.14
119,3.17,3.14
120,3.17,3.13
121,3.17,3.13
122,3.16,3.13
123,3.15,3.12
124,3.15,3.12
126,3.14,3.13
128,3.16,3.16
129,3.18,3.20
130,3.22,3.23
131,3.25,3.25
132,3.27,3.26
133,3.28,3.26
134,3.28,3.26
135,3.28,3.26
136,3.28,3.26
137,3.28,3.25
138,3.27,3.24
139,3.27,3.23
141,3.26,3.23
142,3.25,3.22
143,3.24,3.23
144,3.26,3.25
145,3.28,3.28
146,3.31,3.32
147,3.34,3.34
148,3.36,3.35
149,3.37,3.35
150,3.37,3.35
151,3.38,3.34
152,3.37,3.33
154,3.37,3.33
155,3.36,3.32
156,3.35,3.31
157,3.34,3.30
158,3.33,3.30
159,3.32,3.30
160,3.33,3.32
161,3.35,3.36
162,3.38,3.39
163,3.41,3.41
164,3.43,3.42
165,3.44,3.42
166,3.44,3.42
168,3.44,3.41
169,3.44,3.40
171,3.43,3.39
172,3.42,3.39
173,3.41,3.38
174,3.40,3.36
175,3.39,3.35
176,3.38,3.36
177,3.39,3.38
178,3.41,3.41
179,3.44,3.45
180,3.47,3.46
181,3.48,3.47
183,3.49,3.47
184,3.49,3.47
185,3.49,3.47
186,3.49,3.46
187,3.48,3.45
188,3.47,3.44
189,3.46,3.43
190,3.45,3.42
191,3.44,3.40
192,3.43,3.41
193,3.43,3.42
194,3.45,3.45
195,3.48,3.49
197,3.50,3.50
198,3.52,3.51
199,3.53,3.51
200,3.54,3.51
201,3.53,3.50
202,3.53,3.49
203,3.52,3.48
204,3.51,3.47
205,3.50,3.46
206,3.48,3.45
207,3.47,3.44
208,3.46,3.44
209,3.46,3.46
211,3.48,3.48
212,3.50,3.51
214,3.53,3.53
215,3.55,3.54
216,3.56,3.54
217,3.56,3.54
218,3.55,3.53
219,3.55,3.52
220,3.54,3.50
221,3.53,3.49
222,3.51,3.48
223,3.50,3.48
224,3.49,3.46
226,3.48,3.46
227,3.48,3.47
228,3.49,3.49
229,3.52,3.53
230,3.55,3.55
231,3.57,3.55
232,3.57,3.55
233,3.57,3.55
234,3.57,3.54
235,3.56,3.53
236,3.55,3.51
237,3.54,3.51
238,3.52,3.50
240,3.51,3.48
241,3.50,3.48
242,3.48,3.47
243,3.48,3.48
244,3.49,3.49
245,3.51,3.52
246,3.53,3.53
247,3.54,3.53
248,3.55,3.53
249,3.55,3.53
250,3.54,3.52
251,3.53,3.51
252,3.52,3.50
253,3.51,3.49
256,3.50,3.48
257,3.48,3.47
258,3.47,3.45
259,3.46,3.44
260,3.45,3.45
261,3.45,3.45
262,3.45,3.46
263,3.46,3.48
264,3.47,3.48
265,3.47,3.47
266,3.46,3.46
267,3.46,3.45
269,3.45,3.44
270,3.43,3.42
271,3.42,3.41
272,3.41,3.40
273,3.39,3.39
274,3.38,3.38
275,3.37,3.37
276,3.36,3.38
277,3.38,3.40
278,3.40,3.43
279,3.42,3.45
280,3.44,3.45
281,3.45,3.45
283,3.46,3.45
284,3.45,3.45
285,3.45,3.43
286,3.44,3.42
287,3.43,3.41
288,3.42,3.40
289,3.41,3.39
290,3.40,3.38
291,3.39,3.37
292,3.39,3.39
293,3.40,3.42
294,3.43,3.45
296,3.47,3.48
297,3.49,3.49
299,3.50,3.49
300,3.51,3.49
301,3.51,3.48
302,3.51,3.48
303,3.51,3.47
304,3.50,3.47
305,3.49,3.45
306,3.48,3.44
307,3.47,3.43
308,3.45,3.43
309,3.45,3.44
311,3.47,3.46
312,3.49,3.49
313,3.53,3.53
314,3.56,3.55
315,3.57,3.55
316,3.58,3.55
317,3.58,3.54
318,3.57,3.53
319,3.56,3.52
320,3.55,3.51
321,3.54,3.50
322,3.53,3.49
323,3.51,3.48
325,3.50,3.48
326,3.50,3.48
327,3.52,3.51
328,3.55,3.54
329,3.59,3.58
330,3.63,3.62
331,3.68,3.66
332,3.72,3.70
333,3.77,3.73
334,3.83,3.77
335,3.88,3.81
336,3.93,3.85
337,3.98,3.89
339,4.03,3.92
340,4.09,3.97
342,4.13,4.01
343,4.18,4.05
344,4.22,4.09
345,4.27,4.12
346,4.31,4.15
347,4.35,4.19
348,4.39,4.22
349,4.42,4.25
350,4.45,4.28
351,4.48,4.31
352,4.51,4.33
354,4.54,4.35
355,4.57,4.38
356,4.59,4.40
357,4.61,4.42
358,4.63,4.44
359,4.65,4.46
360,4.67,4.48
361,4.69,4.50
362,4.70,4.51
363,4.72,4.52
364,4.73,4.53
365,4.74,4.54
366,4.75,4.55
368,4.76,4.56
369,4.76,4.56
370,4.76,4.57
371,4.76,4.57
372,4.76,4.57
373,4.75,4.57
374,4.75,4.57
375,4.74,4.57
376,4.73,4.57
377,4.72,4.57
378,4.71,4.57
379,4.70,4.57
380,4.69,4.57
382,4.68,4.57
384,4.67,4.56
385,4.66,4.56
386,4.64,4.56
387,4.63,4.55
388,4.62,4.55
389,4.61,4.55
390,4.60,4.55
391,4.58,4.55
392,4.57,4.55
393,4.57,4.54
394,4.55,4.55
396,4.54,4.54
397,4.53,4.54
398,4.52,4.54
