time_ms,ch1_v,ch2_v
71798,2.0904,2.6593
71799,2.0848,2.6811
71800,2.0622,2.6932
71801,2.1017,2.6819
71802,2.1025,2.6722
71803,2.1114,2.6513
71804,2.1089,2.6271
71805,2.1073,2.6070
71806,2.1049,2.5828
71807,2.1017,2.5554
71808,2.0904,2.5385
71809,2.0928,2.5280
71810,2.0936,2.5401
71811,2.0928,2.5288
71812,2.0936,2.5755
71813,2.0944,2.5989
71814,2.0993,2.6215
71815,2.0920,2.6432
71816,2.1017,2.6473
71817,2.1138,2.6489
71818,2.1154,2.6432
71819,2.1194,2.6199
71820,2.1226,2.6053
71821,2.1218,2.5812
71822,2.1234,2.5618
71823,2.1186,2.5497
71824,2.1105,2.5151
71825,2.1017,2.5038
71826,2.1025,2.5006
71827,2.1009,2.5103
71828,2.1065,2.5320
71829,2.1041,2.5497
71830,2.1017,2.5699
71831,2.1057,2.5925
71832,2.1186,2.6005
71833,2.1065,2.6045
71834,2.1025,2.5925
71835,2.1041,2.5747
71836,2.1033,2.5586
71837,2.0977,2.5328
71838,2.0904,2.5143
71839,2.0864,2.4941
71840,2.0904,2.4667
71841,2.0622,2.4450
71842,2.0622,2.4329
71843,2.0558,2.4256
71844,2.0509,2.4426
71845,2.0582,2.4506
71846,2.0558,2.4885
71847,2.0558,2.5103
71848,2.0549,2.5248
71849,2.0622,2.5377
71850,2.0622,2.5280
71851,2.0622,2.5183
71852,2.0622,2.5095
71853,2.0622,2.4845
71854,2.0549,2.4635
71855,2.0501,2.4410
71856,2.0501,2.4216
71857,2.0461,2.4023
71858,2.0396,2.3837
71859,2.0324,2.3797
71860,2.0275,2.3870
71861,2.0316,2.3958
71862,2.0267,2.4200
71863,2.0292,2.4426
71864,2.0324,2.4700
71865,2.0364,2.4974
71866,2.0429,2.5095
71867,2.0541,2.5143
71868,2.0622,2.5062
71869,2.0622,2.4885
71870,2.0622,2.4708
71871,2.0622,2.4474
71872,2.0622,2.4313
71873,2.0622,2.4248
71874,2.0517,2.3958
71875,2.0622,2.3853
71876,2.0622,2.3910
71877,2.0549,2.4087
71878,2.0622,2.4289
71879,2.0622,2.4506
71880,2.0622,2.4700
71881,2.0622,2.4845
71882,2.0622,2.5352
71883,2.0622,2.5530
71884,2.0832,2.5683
71885,2.0928,2.5699
71886,2.0977,2.5618
71887,2.0936,2.5522
71888,2.1017,2.5328
71889,2.1009,2.5127
71890,2.0977,2.4925
71891,2.0960,2.4740
71892,2.0904,2.4684
71893,2.0856,2.4845
71894,2.0880,2.4998
71895,2.0848,2.5199
71896,2.0888,2.5425
71897,2.0912,2.5659
71898,2.0880,2.5916
71899,2.0888,2.6207
71900,2.0985,2.6352
71901,2.0944,2.6456
71902,2.1041,2.6408
71903,2.1081,2.6344
71904,2.1033,2.6126
71905,2.1049,2.5892
71906,2.1017,2.5675
71907,2.0968,2.5425
71908,2.0928,2.5320
71909,2.0912,2.5183
71910,2.0896,2.5449
71911,2.0904,2.5739
71912,2.0920,2.5876
71913,2.0896,2.5916
71914,2.0912,2.6344
71915,2.0864,2.6569
71916,2.0912,2.6738
71917,2.0960,2.6988
71918,2.0928,2.6948
71919,2.1017,2.6892
71920,2.1009,2.6634
71921,2.1017,2.6174
71922,2.0977,2.6182
71923,2.0936,2.5925
71924,2.0872,2.5296
71925,2.0856,2.5699
71926,2.0840,2.5659
71927,2.0815,2.5747
71928,2.0815,2.5916
71929,2.0807,2.6134
71930,2.0622,2.6473
71931,2.0799,2.6473
71932,2.0622,2.6940
71933,2.0840,2.6988
71934,2.0622,2.6996
71935,2.0815,2.6867
71936,2.0622,2.6690
71937,2.0622,2.6440
71938,2.0622,2.6271
71939,2.0622,2.5916
71940,2.0558,2.5683
71941,2.0558,2.5417
71942,2.0517,2.5360
71943,2.0517,2.5401
71944,2.0501,2.5586
71945,2.0501,2.5739
71946,2.0509,2.5933
71947,2.0517,2.6142
71948,2.0501,2.6448
71949,2.0525,2.6618
71950,2.0590,2.6634
71951,2.0622,2.6553
71952,2.0622,2.6174
71953,2.0622,2.6094
71954,2.0622,2.5900
71955,2.0582,2.5659
71956,2.0517,2.5385
71957,2.0485,2.5143
71958,2.0477,2.5127
