time_ms,ch1_v,ch2_v
69,3.74,3.70
70,3.77,3.72
71,3.80,3.72
72,3.81,3.72
73,3.80,3.71
74,3.80,3.70
75,3.78,3.69
76,3.76,3.68
77,3.75,3.66
78,3.72,3.64
79,3.70,3.62
80,3.69,3.61
81,3.68,3.62
82,3.68,3.63
84,3.70,3.65
86,3.72,3.67
87,3.75,3.70
88,3.78,3.72
89,3.80,3.73
90,3.81,3.72
91,3.80,3.71
92,3.79,3.70
93,3.78,3.69
94,3.76,3.67
95,3.74,3.66
96,3.72,3.64
97,3.70,3.62
98,3.69,3.61
99,3.68,3.62
100,3.69,3.63
101,3.70,3.65
102,3.72,3.68
103,3.75,3.70
104,3.79,3.72
105,3.80,3.72
106,3.81,3.72
107,3.80,3.71
108,3.79,3.70
110,3.77,3.68
111,3.75,3.66
112,3.73,3.64
113,3.71,3.63
114,3.69,3.61
115,3.68,3.62
116,3.68,3.63
117,3.70,3.65
118,3.72,3.67
119,3.75,3.70
120,3.78,3.72
121,3.80,3.72
122,3.81,3.72
124,3.80,3.71
125,3.79,3.70
126,3.77,3.68
128,3.75,3.67
129,3.73,3.65
130,3.71,3.63
131,3.69,3.61
132,3.68,3.62
133,3.68,3.63
134,3.70,3.65
135,3.72,3.67
136,3.75,3.70
137,3.78,3.72
139,3.80,3.72
140,3.81,3.72
141,3.80,3.71
142,3.79,3.70
143,3.78,3.68
144,3.76,3.67
145,3.74,3.65
146,3.71,3.63
147,3.70,3.61
148,3.68,3.62
149,3.68,3.63
150,3.70,3.65
151,3.72,3.67
153,3.75,3.70
154,3.78,3.72
155,3.80,3.72
156,3.81,3.72
157,3.81,3.71
158,3.79,3.70
159,3.78,3.69
160,3.76,3.67
161,3.74,3.65
162,3.72,3.63
163,3.70,3.61
164,3.68,3.62
165,3.68,3.63
167,3.70,3.65
168,3.72,3.67
169,3.74,3.70
171,3.78,3.72
172,3.80,3.72
173,3.81,3.72
174,3.81,3.71
175,3.80,3.70
176,3.78,3.69
177,3.76,3.67
178,3.74,3.65
179,3.72,3.63
181,3.70,3.62
182,3.68,3.62
183,3.68,3.63
184,3.70,3.65
185,3.72,3.67
186,3.74,3.69
187,3.78,3.72
188,3.80,3.72
189,3.81,3.72
190,3.81,3.71
191,3.80,3.70
192,3.78,3.69
193,3.76,3.67
195,3.74,3.65
196,3.72,3.63
197,3.70,3.62
198,3.68,3.62
199,3.68,3.63
200,3.70,3.64
201,3.71,3.67
202,3.74,3.69
203,3.78,3.71
204,3.80,3.72
205,3.81,3.72
206,3.81,3.71
207,3.80,3.70
209,3.78,3.69
210,3.77,3.67
211,3.75,3.65
212,3.72,3.64
214,3.70,3.62
215,3.68,3.61
216,3.68,3.63
217,3.70,3.64
218,3.71,3.66
219,3.74,3.69
220,3.77,3.71
221,3.80,3.72
222,3.81,3.72
224,3.81,3.71
225,3.80,3.70
226,3.79,3.69
227,3.77,3.67
228,3.75,3.66
229,3.73,3.64
230,3.70,3.62
231,3.69,3.61
232,3.68,3.62
233,3.70,3.64
234,3.71,3.66
235,3.74,3.69
236,3.77,3.71
238,3.80,3.72
239,3.81,3.72
240,3.81,3.72
241,3.80,3.70
242,3.79,3.69
243,3.77,3.68
244,3.75,3.66
245,3.73,3.64
246,3.71,3.62
247,3.69,3.61
248,3.68,3.62
249,3.69,3.64
250,3.71,3.66
252,3.73,3.68
253,3.77,3.71
254,3.80,3.73
